English Word,Hebrew Word,Valence_value
inferno,תופת,0.051
negligently,ברשלנות,0.056
insecurity,חוסר ביטחון,0.094
schizophrenic,סכיזופרני,0.102
insecure,חסר בטחון,0.114
dissociation,דיסוציאציה,0.135
rebels,מורדים,0.135
heartattack,התקף לב,0.156
sting,לעקוץ,0.163
killjoy,הורס מסיבות,0.178
rotting,להירקב,0.188
fascist,פשיסטי,0.2
litigant,בעל דין,0.219
suspended,מושהה,0.224
cleaver,סכין קצבים,0.24
microbe,מיקרוב,0.255
trunk,חדק,0.271
archaic,מיושן,0.271
intracranial,תוך גולגולתי,0.281
deterrent,מרתיע,0.292
splatter,מתיז,0.312
fenced,מגודר,0.323
erratum,שגיאת דפוס,0.327
compelled,נאלץ,0.333
ooze,נוטף,0.344
clueless,חסר מושג,0.35
piping,צנרת,0.365
deductible,השתתפות עצמית,0.375
refugee,פליט,0.379
psychotherapy,פסיכותרפיה,0.396
pariah,מנודה,0.397
fax,פקס,0.406
leprechaun,לפריקון,0.417
cone,קונוס,0.417
stepmother,אמא חורגת,0.427
cutoff,צמצום,0.432
oldies,ישנים,0.438
elk,אייל קנדי,0.439
possibly,יתכן,0.448
copyright,זכויות יוצרים,0.458
rubber,גומי,0.46
hay,חציר,0.469
parka,מעיל דובון,0.469
geriatric,גריאטרי,0.479
jack,ג'ק,0.487
ebony,הובנה,0.49
indelible,בלתי ניתן למחיקה,0.49
chromosome,כרומוזום,0.5
emir,אמיר,0.51
loft,לופט,0.51
ambition,שאפתנות,0.51
calamari,קלמרי,0.521
radius,רדיוס,0.521
foundry,בית יציקה ,0.531
apparently,ככל הנראה,0.531
antelope,אנטילופה,0.542
timberland,טימברלנד,0.55
knapsack,תרמיל גב,0.551
motorbike,אופנוע,0.552
triangle,משולש,0.562
hockey,הוקי,0.565
presto,פרסטו,0.573
mores,מנהגים,0.582
cardinal,קרדינל,0.583
robotics,רובוטיקה,0.592
relativity,תורת היחסות,0.594
homeboy,חבר ילדות,0.602
recipient,מקבל,0.604
crossword,תשבץ,0.611
firefly,גחלילית,0.622
perusal,עיון,0.622
juggler,להטוטן,0.633
climate,אקלים,0.635
armchair,כורסה,0.646
morals,ערכים,0.646
elastic,אלסטי,0.656
economical,חסכוני,0.667
earrings,עגילים,0.676
painter,צייר,0.677
mine,שלי,0.688
coordinate,לתאם,0.698
reggae,רגאיי,0.698
recitation,דקלום,0.708
patrimony,נחלת אבות,0.719
fill,למלא,0.729
resource,משאב,0.74
protein,חלבון,0.75
conversing,משוחח,0.755
reconcile,ליישב,0.76
synchronize,לסנכרן,0.781
swan,ברבור,0.781
sync,סינכרון,0.802
glorification,האדרה,0.821
dreamy,חולמני,0.837
viva,ויוה,0.84
truelove,אהבת אמת,0.86
cruise ship,ספינת תענוגות,0.878
acquainted,מכיר,0.906
holidays,חגים,0.939
satisfied,שבע רצון,0.959
